日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
20250812132653.0,2455,润华服务,RUNHUA SERVICE,,0.69,0.0,0.0,0.69,0.69,0.69,0.69,14000,9660,0.67,0.69
20250812131145.0,2457,步阳国际,BUYANG INTL,,0.29,0.0,0.0,0.29,0.0,0.0,0.0,20000,5800,0.29,0.295
20250812135504.0,2458,望尘科技控股,GALA TECH HOLD,,4.8,0.0,0.0,4.8,4.99,5.0,4.8,80800,392264,4.71,4.8
20250812134044.0,2459,升能集团,SANERGY GROUP,,0.144,0.003,2.12766,0.141,0.141,0.146,0.14,3314000,475774,0.143,0.144
20250812135508.0,2460,华润饮料,CR BEVERAGE,,11.48,0.02,0.17452,11.46,11.5,11.52,11.4,3494600,40041571,11.48,11.49
20250812135508.0,2465,龙蟠科技,LOPAL TECH,,8.64,0.11,1.28957,8.53,8.5,8.84,8.16,19552013,165337679,8.64,8.67
20250812135501.0,2469,粉笔,FENBI,,3.12,-0.16,-4.87805,3.28,3.3,3.31,3.1,49889500,158598180,3.12,3.13
20250812135317.0,2473,喜相逢集团,XXF,,6.29,0.21,3.45395,6.08,6.07,6.35,6.0,1610000,9989125,6.28,6.3
20250812135121.0,2477,经纬天地,WELLCELL HOLD,,7.59,0.13,1.74263,7.46,7.42,7.69,7.42,885200,6685892,7.57,7.59
20250812085500.0,2479,天聚地合,TIANJUDIHE,,65.0,0.0,0.0,65.0,0.0,0.0,0.0,0,0,0.0,0.0
20250812112250.0,2480,绿竹生物－Ｂ,LUZHU BIOTECH-B,,23.32,0.0,0.0,23.32,0.0,0.0,0.0,0,0,23.3,24.4
20250812135504.0,2481,慧居科技,WISE LIVING TEC,,2.93,0.03,1.03448,2.9,2.97,3.0,2.93,37000,109160,2.92,2.99
20250812130023.0,2482,维天运通,LOGORY,,0.79,0.0,0.0,0.79,0.79,0.79,0.79,2000,1580,0.61,0.79
20250812114631.0,2483,Ｋ　ＣＡＳＨ集团,K CASH,,1.72,0.03,1.77515,1.69,1.72,1.72,1.72,6000,10320,1.61,1.71
20250812134939.0,2486,普乐师集团控股,PLUS GP HOLDING,,6.23,-0.17,-2.65625,6.4,6.46,6.46,6.22,25600,161426,6.09,6.34
20250812135507.0,2487,科笛－Ｂ,CUTIA-B,,8.11,-0.77,-8.67117,8.88,8.88,8.88,8.0,879800,7319560,8.11,8.19
20250812135456.0,2488,元征科技,LAUNCH TECH,,12.95,-0.23,-1.74507,13.18,13.2,13.3,12.73,914900,11883777,12.95,12.98
20250812135440.0,2489,集海资源,PERSISTENCE RES,,1.39,-0.06,-4.13793,1.45,1.43,1.43,1.38,310000,434500,1.38,1.39
20250812135310.0,2490,乐舱物流（新）,LC LOGISTIC-NEW,,7.79,-0.27,-3.34988,8.06,8.0,8.07,7.63,248000,1934845,7.78,7.8
20250812135428.0,2495,声通科技,VOICECOMM,,61.75,0.4,0.652,61.35,62.8,62.85,61.5,17460,1079422,61.85,62.1
20250812085500.0,2496,友芝友生物－Ｂ,YZYBIO-B,,5.6,0.0,0.0,5.6,0.0,0.0,0.0,0,0,0.0,0.0
20250812131712.0,2497,富景中国控股,FUJING HOLDINGS,,0.81,-0.06,-6.89655,0.87,0.86,0.88,0.8,64000,52560,0.81,0.85
20250812135506.0,2498,速腾聚创,ROBOSENSE,,32.68,-0.54,-1.62553,33.22,33.0,33.38,32.54,3349700,110036315,32.64,32.68
20250812134650.0,2499,佛朗斯股份,FOLANGSI,,4.94,0.0,0.0,4.94,4.94,4.94,4.86,35200,172832,4.86,4.93
20250812135325.0,2500,启明医疗－Ｂ,VENUS MEDTECH-B,,4.45,0.02,0.45147,4.43,4.43,4.56,4.34,4315000,19205220,4.44,4.45
20250812130721.0,2501,迈越科技,MAIYUE TECH,,0.87,-0.01,-1.13636,0.88,0.87,0.88,0.86,60000,52080,0.86,0.88
20250812093048.0,2502,金源氢化,JINYUAN HCHEM,,0.52,0.0,0.0,0.52,0.0,0.0,0.0,0,0,0.51,0.53
20250812135505.0,2503,中深建业,ZHONGSHENJIANYE,,1.16,0.02,1.75439,1.14,1.14,1.16,1.09,252000,280160,1.14,1.17
20250812135429.0,2505,ＥＤＡ集团控股,EDA GROUP HLDGS,,3.02,0.04,1.34228,2.98,2.98,3.03,2.97,723000,2161220,2.97,3.03
20250812135526.0,2506,讯飞医疗科技,XUNFEIHEALTH,,101.4,-0.9,-0.87977,102.3,101.7,102.5,101.0,91550,9294725,101.4,101.7
20250812135535.0,2507,西锐,CIRRUS,,53.8,-1.15,-2.09281,54.95,55.05,55.5,52.95,1559400,84577897,53.65,53.8
20250812135010.0,2508,圣贝拉,SAINT BELLA,,7.49,0.04,0.53691,7.45,7.45,7.62,7.45,427000,3198915,7.46,7.48
20250812134956.0,2509,荃信生物－Ｂ,QYUNS-B,,20.0,-0.64,-3.10078,20.64,19.84,20.4,19.69,160600,3216532,20.0,20.1
20250812135523.0,2510,德翔海运,TS LINES,,8.87,-0.06,-0.67189,8.93,8.92,9.18,8.87,5361000,48515600,8.87,8.89
20250812134818.0,2511,君圣泰医药－Ｂ,HIGHTIDE-B,,3.07,-0.1,-3.15457,3.17,3.16,3.19,3.05,515000,1595080,3.06,3.07
20250812134103.0,2512,云工场,CLOUD FACTORY,,4.52,-0.07,-1.52505,4.59,4.72,4.74,4.51,101000,470660,4.51,4.68
20250812111507.0,2515,天津建发,TJCD,,0.51,0.0,0.0,0.51,0.0,0.0,0.0,0,0,0.5,0.51
20250812134746.0,2516,泛远国际,FAR INTL,,0.73,-0.01,-1.35135,0.74,0.74,0.74,0.72,64000,46520,0.72,0.73
20250812135501.0,2517,锅圈,GUOQUAN,,3.63,0.03,0.83333,3.6,3.61,3.73,3.56,18058400,65777405,3.62,3.63
20250812115640.0,2518,汽车之家－Ｓ,AUTOHOME-S,,55.85,-0.5,-0.88731,56.35,56.15,56.4,55.85,1300,73095,55.85,56.25
20250812135339.0,2519,傲基股份,AUGROUP,,7.86,-0.22,-2.72277,8.08,8.08,8.08,7.85,6600,53103,7.88,8.05
20250812130616.0,2520,山西安装,SHANXI INSTALL,,2.15,0.0,0.0,2.15,2.15,2.15,2.15,50000,107500,1.96,2.15
20250812134353.0,2521,升辉清洁,SHENGHUI CLEAN,,0.305,-0.005,-1.6129,0.31,0.31,0.31,0.305,135000,41475,0.305,0.31
20250812135514.0,2522,一脉阳光,RIMAG GROUP,,15.94,-0.07,-0.43723,16.01,16.14,16.3,15.7,11685500,186387494,15.94,15.98
20250812131446.0,2528,尚晋国际控股,FW FASHION INT,,0.335,0.055,19.64286,0.28,0.29,0.38,0.29,654000,207760,0.32,0.335
20250812110542.0,2529,泓盈城市服务,HOLLWIN URBAN,,2.86,0.0,0.0,2.86,0.0,0.0,0.0,0,0,2.82,2.86
20250812095835.0,2530,纽曼思,NUMANS,,0.65,0.0,0.0,0.65,0.0,0.0,0.0,0,0,0.63,0.67
20250812135528.0,2531,广联科技控股,CARLINK TECH,,12.01,0.11,0.92437,11.9,11.98,13.33,10.7,871500,10411525,12.01,12.11
20250812135534.0,2533,黑芝麻智能,BLACK SESAME,,17.84,0.1,0.5637,17.74,17.92,18.28,17.71,12498000,225432542,17.84,17.85
20250812114019.0,2535,泓基集团,WK GROUP,,0.59,0.0,0.0,0.59,0.0,0.0,0.0,0,0,0.58,0.59
20250812130028.0,2536,百乐皇宫,PALASINO,,2.45,-0.07,-2.77778,2.52,2.39,2.45,2.39,24000,57540,2.35,2.45
20250812101534.0,2540,乐思集团,LESI GROUP,,1.6,0.0,0.0,1.6,0.0,0.0,0.0,0,0,1.55,1.59
20250812134439.0,2545,中赣通信,ZHONGGAN COMM,,0.75,0.09,13.63636,0.66,0.68,0.76,0.68,3724000,2727920,0.74,0.75
20250812135530.0,2549,卡罗特,CAROTE LTD,,4.4,-0.18,-3.93013,4.58,4.57,4.58,4.4,614500,2749990,4.41,4.47
20250812135521.0,2550,宜搜科技,EASOU TECH,,5.07,0.2,4.10678,4.87,4.88,5.29,4.85,48328500,246996355,5.07,5.08
20250812132229.0,2551,晶科电子股份,APT ELECTRONICS,,3.2,-0.05,-1.53846,3.25,3.21,3.22,3.2,143000,458800,3.2,3.23
20250812135505.0,2552,华领医药－Ｂ,HUA MEDICINE-B,,3.12,0.01,0.32154,3.11,3.1,3.12,3.03,3933000,12076728,3.11,3.12
20250812134627.0,2555,茶百道,CHABAIDAO,,9.56,-0.09,-0.93264,9.65,9.64,9.7,9.53,812600,7806210,9.55,9.56
20250812135536.0,2556,迈富时,MARKETINGFORCE,,53.85,-4.85,-8.26235,58.7,58.95,58.95,53.85,4752000,263758885,53.85,53.9
20250812105305.0,2558,晋商银行,JINSHANG BANK,,1.48,0.0,0.0,1.48,0.0,0.0,0.0,0,0,1.41,1.5
20250812135457.0,2559,嘀嗒出行,DIDA INC,,1.49,-0.05,-3.24675,1.54,1.5,1.53,1.48,3224500,4861275,1.49,1.5
20250812135534.0,2560,海螺材料科技,CONCH MAT TECH,,2.22,-0.06,-2.63158,2.28,2.27,2.27,2.17,974000,2163490,2.19,2.22
20250812134921.0,2561,维昇药业－Ｂ,VISEN PHARMA-B,,48.48,-0.64,-1.30293,49.12,49.12,50.6,48.08,32100,1585099,48.2,48.48
20250812135534.0,2562,狮腾控股,SYNAGISTICS,,18.56,-0.17,-0.90764,18.73,18.8,18.98,18.48,1526500,28486180,18.56,18.58
20250812131006.0,2563,华昊中天医药－Ｂ,BIOSTAR PHARM-B,,7.85,-0.15,-1.875,8.0,7.85,7.85,7.85,200,1570,7.85,7.97
20250812135219.0,2565,派格生物医药－Ｂ,PEGBIO CO-B,,17.47,-0.17,-0.96372,17.64,17.64,17.82,17.18,229500,4008920,17.47,17.61
20250812135134.0,2566,九源基因,JIUYUAN GENE,,10.91,-0.04,-0.3653,10.95,10.74,11.26,10.74,493000,5449988,10.89,10.92
20250812135525.0,2567,七牛智能,QINIU,,1.48,0.01,0.68027,1.47,1.46,1.52,1.42,3074000,4589140,1.47,1.49
20250812135139.0,2569,舒宝国际,SOFT INTL,,1.28,-0.03,-2.29008,1.31,1.29,1.3,1.26,3575000,4571000,1.27,1.28
20250812135441.0,2570,重塑能源,REFIRE,,162.2,-1.0,-0.61275,163.2,163.0,165.1,161.4,44228,7241029,161.8,162.2
20250812133109.0,2571,赛目科技,SAIMO,,12.78,-0.01,-0.07819,12.79,12.78,12.8,12.78,6400,81812,12.78,13.0
20250812135532.0,2573,新琪安,NEWTREND GROUP,,12.2,-0.15,-1.21458,12.35,12.35,12.35,12.2,15800,193030,12.19,12.2
20250812134718.0,2576,太美医疗科技,TAIMEI TECH,,4.58,0.06,1.32743,4.52,4.62,4.62,4.58,19800,91236,4.58,4.6
20250812135534.0,2577,英诺赛科,INNOSCIENCE,,68.65,1.25,1.8546,67.4,68.0,70.6,63.8,12116820,813956799,68.6,68.65
20250812135534.0,2582,国富氢能,GUOFUHEE,,64.75,-2.5,-3.71747,67.25,67.35,67.35,61.9,1085744,69450603,64.7,64.8
20250812135527.0,2585,梦金园,MOKINGRAN,,12.0,-0.29,-2.35964,12.29,12.27,12.27,12.0,70800,854114,12.06,12.19
20250812135527.0,2586,多点数智,DMALL,,10.63,0.71,7.15726,9.92,9.9,10.81,9.9,15547280,164237096,10.63,10.64
20250812135530.0,2587,健康之路,HEALTHYWAY INC,,7.62,-0.11,-1.42303,7.73,7.77,7.77,7.57,9627500,73493010,7.62,7.63
20250812135528.0,2588,中银航空租赁,BOC AVIATION,,72.15,-0.8,-1.09664,72.95,72.1,72.9,71.8,335576,24275944,72.1,72.15
20250812135507.0,2589,沪上阿姨,AUNTEA JENNY,,137.9,1.4,1.02564,136.5,139.2,139.8,134.0,47730,6518808,136.8,137.7
20250812135526.0,2590,极智嘉－Ｗ,GEEKPLUS-W,,18.44,0.04,0.21739,18.4,18.4,18.56,18.14,1405400,25822558,18.44,18.46
20250812132710.0,2592,拨康视云－Ｂ,CLOUDBREAK-B,,5.14,0.06,1.1811,5.08,5.08,5.15,5.04,157000,799535,5.11,5.14
20250812135248.0,2593,草姬集团,HERBS GROUP,,1.73,0.0,0.0,1.73,1.71,1.73,1.69,602400,1028184,1.69,1.7
20250812104258.0,2596,宜宾银行,YIBIN BANK,,2.59,-0.01,-0.38462,2.6,2.59,2.59,2.59,10000,25900,2.59,2.64
20250812132956.0,2597,讯众通信,XUNZHONG,,13.39,-0.17,-1.25369,13.56,13.55,13.55,13.35,10000,133995,13.39,13.5
20250812135511.0,2598,连连数字,LIANLIAN,,9.89,0.12,1.22825,9.77,9.8,10.07,9.6,3591500,35500257,9.88,9.89
