日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,EMA12,EMA26,VOLUME_MA5,VOLUME_MA10,VOLUME_MA20,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,ATR,CCI,BBI,WR,MTM,OBV,WEEKLY_KDJ_K,WEEKLY_KDJ_D,WEEKLY_KDJ_J
2023-08-21,1793.0,1791.0,1813.99,1790.07,18912.0,1810.924,1834.69,1852.424,1813.53,1757.0175000000002,1756.2618333333332,1827.0823771966773,1817.6918109293963,16245.4,18643.9,23081.1,9.390566267280974,22.972287368805812,-27.163442203049676,12.44191937652652,21.248105999782137,-5.170453869984712,23.1947483588621,1925.6122114177451,1852.424,1779.2357885822544,29.285714285714302,-112.88658272075752,1823.9388541666667,-99.20137398024896,-87.47000000000003,-589556.1499999999,,,
2023-08-18,1831.99,1802.59,1834.99,1802.59,17023.0,1813.324,1844.383,1851.4315,1810.5266666666669,1755.5175000000002,1756.2368333333332,1833.642809414255,1819.827155803748,17209.2,19141.9,23121.15,13.815653610506844,26.367717644187017,-25.10412806736035,18.258284964032768,25.651199311409943,3.4724562692784176,28.291488058787493,1928.559277854962,1851.4315,1774.303722145038,29.65285714285715,-73.99646233233942,1829.2590625,-94.06038756196492,-77.41000000000008,-570644.1499999999,,,
2023-08-17,1806.08,1828.05,1834.0,1801.55,17290.0,1819.606,1853.471,1849.8669999999995,1806.774666666667,1753.9893333333334,1756.3652499999998,1839.2887747623013,1821.206128268048,19161.8,19897.0,24238.85,18.08264649425314,29.50573365260706,-22.84617431670784,24.364491666232674,29.34765648509853,14.398162028500956,29.79072630283133,1932.256203457237,1849.8669999999995,1767.4777965427625,31.695714285714285,-48.45542782753851,1833.9982291666668,-76.9424460431655,-60.950000000000045,-553621.1499999999,,,
2023-08-16,1807.58,1820.0,1823.35,1806.0,13184.0,1828.996,1858.513,1844.6644999999996,1802.6056666666664,1752.2643333333333,1756.4315,1841.332188355447,1820.658618529492,19391.0,20322.3,24209.0,20.673569825954928,32.361505442195536,-23.375871232481217,21.844902636963713,31.839238894531455,1.8562301218282329,45.930206311227494,1944.2088398639496,1844.6644999999996,1745.1201601360497,34.519999999999996,-43.178350495719585,1834.9916666666663,-82.73381294964028,-60.57999999999993,-570911.1499999999,,,
2023-08-15,1809.0,1812.98,1818.0,1801.01,14818.0,1843.052,1864.513,1839.8144999999995,1799.118333333333,1751.031,1756.8231666666666,1845.2107680564372,1820.711308011851,20458.8,20854.8,24173.95,24.49946004458593,35.28348934625569,-21.568058603339523,21.909590654685523,36.83640702331533,-7.944042082574086,46.524088047506375,1952.943743364449,1839.8144999999995,1726.6852566355508,35.15500000000001,-39.7184845302193,1839.4870833333337,-87.78417266187049,-84.01999999999998,-584095.1499999999,,,
2023-08-14,1810.0,1803.0,1824.98,1796.0,23731.0,1858.4559999999997,1872.115,1835.3055,1796.3723333333332,1749.1396666666667,1757.34,1851.0709077030624,1821.3298126527995,21042.4,21296.1,24169.95,29.74109505026263,37.97949667167313,-16.476803242821006,25.18251844674054,44.29981520763022,-13.052075075038816,44.03009486424601,1959.577911550729,1835.3055,1711.033088449271,35.43500000000001,-33.872257042956356,1848.495625,-94.9640287769784,-35.02999999999997,-598913.1499999999,,,
2023-08-11,1885.0,1834.0,1885.4,1833.88,26786.0,1875.442,1879.873,1831.654,1793.7423333333331,1747.273,1757.4881666666663,1859.8110727399824,1822.7961976650236,21074.6,23460.9,23700.2,37.014875074959264,40.03909707702576,-6.048444004132989,34.60693004072246,53.858463588075054,-3.896137053982727,63.072507175839256,1963.9554949830083,1831.654,1699.3525050169917,36.844285714285725,23.768553221915884,1859.2995833333332,-74.80927338715652,5.4500000000000455,-575182.1499999999,,,
2023-08-10,1882.0,1875.0,1889.0,1862.3,18436.0,1887.336,1886.173,1827.604,1788.9756666666665,1745.0563333333334,1757.72,1864.503995056343,1821.8998934782255,20632.2,24684.1,23288.4,42.604101578117934,40.79515257754238,3.617898001151104,51.82828201879554,63.484230361751344,28.516385332883942,75.98476495940668,1964.4830510902616,1827.604,1690.7249489097385,34.64857142857144,54.90808793632931,1864.319166666667,-32.52385082393755,46.450000000000045,-548396.1499999999,,,
2023-08-09,1890.0,1890.28,1905.0,1882.96,18523.0,1888.03,1882.476,1820.774,1783.599333333333,1742.1945,1757.4366666666667,1862.5956305211328,1817.6518849564836,21253.6,24874.5,23656.95,44.94374556464959,40.342915327398494,9.20166047450219,63.245381608074965,69.31220453322925,51.11173575776638,85.90430126101231,1961.2794029903323,1820.774,1680.2685970096677,36.11428571428572,78.23701902849905,1862.7105208333337,-21.39712918660289,119.12999999999988,-529960.1499999999,,,
2023-08-08,1880.03,1890.0,1893.71,1864.08,17736.0,1885.9739999999997,1876.303,1811.95,1778.2026666666668,1739.2948333333334,1757.04925,1857.5621087977024,1811.8416357530025,21250.8,24983.3,23395.05,45.720473044700384,39.19270776808572,13.055530553229332,65.76722186533239,72.34561599580638,52.61043360438441,85.94799380058554,1956.192845229848,1811.95,1667.707154770152,36.46714285714287,74.10255081545452,1858.4901041666665,-21.12676056338028,118.70000000000005,-548483.1499999999,,,
2023-08-07,1880.95,1887.93,1898.0,1871.03,23892.0,1885.774,1870.158,1802.95,1772.2376666666669,1736.2348333333334,1756.768833333333,1851.664310397285,1805.5889666132423,21549.8,27518.3,23137.4,46.07534378404239,37.56076644893205,17.029154670220677,69.68083560199895,75.63481306104337,57.7728806839101,85.83394817933254,1949.136969251535,1802.95,1656.763030748465,35.36500000000001,84.25196522515459,1852.844895833333,-21.279385171790203,163.93000000000006,-566219.1499999999,,,
2023-08-04,1887.82,1893.47,1906.52,1882.0,24574.0,1884.304,1858.48,1793.5985,1766.2733333333333,1733.3871666666666,1756.119416666667,1845.0705486513364,1799.001683942302,25847.2,27100.4,22616.65,46.06886470903464,35.43212211515446,21.273485187760357,74.14683712548005,78.61180179056558,65.216907795309,85.23099465609378,1940.8212695883517,1793.5985,1646.3757304116484,34.40357142857143,102.08322926265755,1847.5079166666667,-18.774864376130186,170.47000000000003,-542327.1499999999,,,
2023-08-03,1870.0,1878.47,1890.0,1850.5,21543.0,1885.01,1846.263,1783.4265,1761.0186666666666,1730.5793333333334,1755.4905,1836.2706484061248,1791.4442186576862,28736.0,28580.7,22146.3,44.82642974843884,32.77293646668441,24.106986563508855,76.60059788509437,80.84428412310834,68.11322540906644,76.13196151122591,1929.704396632265,1783.4265,1637.1486033677352,34.2857142857143,94.11802208981491,1839.5096875,-25.556057866184428,155.67000000000007,-566901.1499999999,,,
2023-08-02,1883.4,1880.0,1890.0,1866.8,18509.0,1876.922,1830.816,1774.652,1756.5183333333334,1727.9715,1754.7032499999998,1828.59803902542,1784.482156150301,28495.4,28095.7,21826.2,44.11588287511927,29.7595631462458,28.71263945774694,80.22234088661813,82.96612724211532,74.73476817562374,77.96871296515762,1917.948046090828,1774.652,1631.355953909172,32.90000000000001,114.7835666877584,1832.409583333333,-24.86437613019891,150.02999999999997,-545358.1499999999,,,
2023-08-01,1878.01,1889.0,1906.95,1877.89,19231.0,1866.632,1815.116,1766.4209999999998,1751.985,1725.3135,1754.0115833333332,1819.2522279391328,1776.8407286423253,28715.8,27493.1,21638.0,42.41149929680773,26.170483214027428,32.48203216556061,83.4914060667693,84.33802041986391,81.7981773605801,82.5965617325296,1902.9920353664131,1766.4209999999998,1629.8499646335863,33.5007142857143,151.13587603570505,1826.8246875,-20.79566003616636,136.0,-526849.1499999999,,,
2023-07-31,1908.0,1880.58,1935.0,1874.0,45379.0,1854.542,1798.496,1758.5009999999995,1748.9413333333334,1722.9968333333334,1753.22825,1806.5708148371568,1767.867986933711,33486.8,27043.8,21300.05,38.70282790344572,22.11022919333235,33.18519742022674,86.03523116588165,84.7613275964112,88.58303830482254,82.29213993639254,1882.9774457786516,1758.5009999999995,1634.024554221348,32.35357142857145,194.90273302807287,1813.1603125,-24.33048687798992,142.17999999999984,-546080.1499999999,,,
