日期,开盘,收盘,最高,最低,成交量,成交额,trend_sma_20,trend_sma_50,trend_ema_12,trend_ema_26,trend_macd,trend_macd_signal,trend_macd_hist,momentum_rsi_14,momentum_stoch_k,momentum_stoch_d,momentum_stoch_j,volatility_bbands_upper,volatility_bbands_middle,volatility_bbands_lower,volatility_atr_14,volume_obv,volume_ad,volume_vwap
2025-03-03,52.9,50.95,53.0,49.55,466253104,23815670528.0,46.98999999999999,39.236,50.11085984676175,45.86121026958549,4.249649577176257,4.091207158893488,0.1584424182827684,64.10936869929913,61.52380952380963,74.49412656309221,35.58317544524448,57.04025372814043,46.98999999999999,36.93974627185955,2.904749481025735,11896538172.0,1491873737.7697058,18.91239262877476
2025-03-04,49.05,50.55,51.6,48.65,338725808,16955649536.0,47.539999999999985,39.63999999999999,50.17841987033686,46.208528027393974,3.9698918429428858,4.066944095703368,-0.0970522527604824,62.78310389849011,56.66666666666677,64.4835164835166,41.03296703296709,57.09309373972648,47.539999999999985,37.986906260273486,2.9079816609524687,11557812364.0,1589472699.3968236,18.96428049395908
2025-03-05,52.0,54.2,54.2,51.3,337625488,17803650816.0,48.26749999999999,40.12499999999999,50.79712450566965,46.80048891425368,3.9966355914159735,4.05288239484589,-0.0562468034299161,69.07084143265806,60.70527670527681,59.63191763191775,62.85199485199492,57.51764999878364,48.26749999999999,39.01735000121634,2.960982970884436,11895437852.0,1927098187.3968236,19.020714685415125
2025-03-06,55.3,54.9,56.3,53.85,375438240,20632772352.0,48.98499999999999,40.607,51.42833612018201,47.400452698383035,4.027883421798975,4.047882600236507,-0.0199991784375317,70.11367877416197,67.1063453835732,61.492762918505605,78.33351031370839,57.951164174272016,48.98499999999999,40.01883582572797,2.9244841872498335,12270876092.0,1873464153.111109,19.086511153769564
2025-03-07,54.6,54.35,55.5,53.1,355629248,19317654784.0,49.57999999999999,41.078,51.87782287092324,47.91523397998429,3.962588890938946,4.030823858376995,-0.0682349674380491,68.16883956032564,72.27301205023987,66.69487804636331,83.429280057993,58.30876852711765,49.57999999999999,40.85123147288233,2.8870210310177025,11915246844.0,1888282038.4444425,19.147404682327853
2025-03-10,54.0,52.85,54.5,52.35,223961425,11925078528.0,50.03499999999999,41.501999999999995,52.02738858308889,48.28077220368916,3.746616379399733,3.9739823625815425,-0.22736598318181,63.03353872745164,64.6153543925822,67.9982372754651,57.8495886268164,58.443573006164534,50.03499999999999,41.626426993835445,2.834376671659295,11691285419.0,1768488718.0956054,19.18446720572879
2025-03-11,50.85,53.9,54.0,50.7,223343033,11756897280.0,50.60249999999999,41.945,52.31548264722906,48.69701129971219,3.6184713475168735,3.9028801595686087,-0.2844088120517352,65.02001045311212,58.022919448153175,64.97042863032509,44.12790108380935,58.42544541716848,50.60249999999999,42.77955458283151,2.8676354808264883,11914628452.0,1978295809.701666,19.22095006133765
2025-03-12,53.85,52.05,54.7,51.5,241938609,12740686848.0,50.999999999999986,42.331,52.27463916303997,48.94538083306684,3.329258329973129,3.788155793649513,-0.4588974636763838,59.00381779332492,46.32367756234412,56.32065046769318,26.32973175164601,58.247689286938304,50.999999999999986,43.75231071306167,2.8913758036245967,11672689843.0,1819523597.5454152,19.26024468423732
2025-03-13,52.05,52.85,53.4,51.6,187000372,9805570560.0,51.55999999999999,42.705,52.36315621487998,49.234611882469295,3.1285443324106836,3.656233501401747,-0.5276891689910634,60.69737249072452,43.587359154383925,49.31131872162708,32.139440019897606,57.43150747253187,51.55999999999999,45.68849252746811,2.8134203890799827,11859690215.0,1892245964.4343047,19.29043275830902
2025-03-14,53.0,53.85,54.6,52.55,229901198,12355629824.0,52.017499999999984,43.093,52.59190141259075,49.576492483767865,3.015408928822886,3.5280685868859747,-0.5126596580630887,62.767841454295315,42.454394693200754,44.121810469976275,39.11956313964971,57.04485268307301,52.017499999999984,46.99014731692696,2.758890361288556,12089591413.0,1953926773.6538172,19.328638625565475
2025-03-17,54.35,55.8,55.8,53.3,221496225,12151787776.0,52.54999999999999,43.519000000000005,53.08545504142294,50.0374930405258,3.0479620008971366,3.432047269688207,-0.3840852687910705,66.476491840885,54.89220563847439,46.97798649535303,70.7206439247171,56.74153909679936,52.54999999999999,48.35846090320062,2.740398192625088,12311087638.0,2175422998.653817,19.36675799824388
2025-03-18,56.75,57.65,57.95,56.15,258147732,14768985344.0,53.01249999999999,43.992,53.78769272735787,50.601382444931296,3.186310282426575,3.382899872235881,-0.1965895898093057,69.5730413223742,70.81260364842461,56.05306799336659,100.33167495854066,57.31027558744064,53.01249999999999,48.714724412559335,2.6982268931518676,12569235370.0,2347521486.653816,19.41392520304153
2025-03-19,57.0,58.2,59.45,56.4,371387360,21553952256.0,53.44999999999999,44.431,54.466509230841275,51.16424300456602,3.3022662262752576,3.366773143043756,-0.0645069167684986,70.4470290908915,83.04081444628714,69.58187457772873,109.958694183404,57.98310048421616,53.44999999999999,48.91689951578382,2.723353543641021,12940622730.0,2414492977.8013577,19.482948027750385
2025-03-20,58.0,56.5,58.65,56.1,254323500,14569412864.0,53.817499999999995,44.835,54.779353964558005,51.55948426348705,3.219869701070955,3.337392454649196,-0.1175227535782408,64.29918050061362,83.55444997236049,79.13595602235742,92.39143787236662,58.08027785018159,53.817499999999995,49.5547221498184,2.710971147666662,12686299230.0,2239957242.50724,19.528930763997025
2025-03-21,56.6,54.7,56.85,54.05,271392240,14935398400.0,53.967499999999994,45.245999999999995,54.76714566231831,51.792115058784304,2.975030603534009,3.2649200844261586,-0.2898894808921497,58.47982593694172,72.37654320987663,79.6572692095081,57.8150912106137,58.131665582682416,53.967499999999994,49.80333441731757,2.7173303514047578,12414906990.0,2094568542.5072408,19.5754211538635
2025-03-24,55.25,57.0,57.1,54.9,206959960,11615297792.0,54.2375,45.72999999999999,55.11066171426934,52.17788431368917,2.932777400580171,3.1984915476569613,-0.2657141470767898,63.07808667539029,66.90123456790131,74.27740925004616,52.1488852036116,58.452577104869576,54.2375,50.02242289513042,2.6946638977329895,12621866950.0,2282713960.689059,19.611918003514845
2025-03-25,53.85,53.4,55.0,53.25,1341045808,71795343360.0,54.2475,46.12299999999999,54.847482988997136,52.268411401564045,2.5790715874330914,3.0746075556121872,-0.4955359681790958,53.15517109229475,52.95855379188719,64.0787771898884,30.718106995884767,58.4536235122136,54.2475,50.04137648778641,2.770045047894919,11280821142.0,1171561719.774771,19.831001007375832
2025-03-26,53.5,53.95,54.3,53.5,180066074,9711112704.0,54.13000000000001,46.530999999999985,54.70940868299758,52.39297351996671,2.3164351630308673,2.9229730770959232,-0.606537914065056,54.33704108759741,46.66666666666672,55.50881834215176,28.982363315696645,58.230170728151634,54.13000000000001,50.029829271848385,2.63647040161671,11460887216.0,1194069979.024773,19.860233381758775
2025-03-27,53.9,51.7,54.05,51.4,359693840,18798735104.0,54.06000000000002,46.90899999999998,54.24642273176718,52.34164214811732,1.9047805836498597,2.7193345784067104,-0.8145539947568508,48.90159056118247,26.476190476190546,42.03380364491484,-4.639035861258051,58.274332687388224,54.06000000000002,49.84566731261181,2.637436801501231,11101193376.0,915816253.7417552,19.915854789854333
2025-03-28,51.0,51.05,52.15,49.6,369242640,18696960256.0,54.02000000000002,47.25499999999998,53.75466538841839,52.24596495196048,1.5087004364579073,2.47720775001695,-0.9685073135590424,47.42565162283696,21.097413584723295,31.41342357586021,0.4653936024494598,58.331542647358155,54.02000000000002,49.70845735264188,2.631191315679714,10731950736.0,966496616.0946956,19.970214057637953
2025-03-31,50.15,49.2,50.7,48.45,342788928,16923401984.0,53.93250000000002,47.56699999999998,53.053947636354025,52.02033791848193,1.0336097178720962,2.1884881435879793,-1.154878425715883,43.409811957095314,10.989188476498189,19.520930845804035,-6.074296262113506,58.54988833107932,53.93250000000002,49.315111668920714,2.628963364559734,10389161808.0,852233640.0946957,20.018099153137545
2025-04-01,49.4,46.5,50.0,46.1,590405456,28080722688.0,53.73000000000002,47.80999999999998,52.045647999991864,51.611423998594375,0.4342240013974887,1.8376353151498812,-1.4034113137523925,38.31105937065711,8.178416227523687,13.42167276291508,-2.308096843259097,59.19958864997977,53.73000000000002,48.26041135002026,2.71975169566261,9798756352.0,382936995.5818748,20.094863489015317
2025-04-02,46.0,44.55,47.5,44.4,635758240,28990681856.0,53.24750000000002,48.00199999999999,50.8924713846085,51.08835555425405,-0.1958841696455522,1.4309314181907946,-1.6268155878363468,35.10412740380168,3.603704746897923,7.590436483639955,-4.3697587265861415,60.014735403027466,53.24750000000002,46.48026459697257,2.7469122888295665,9162998112.0,-191296253.4503839,20.17090691889509
2025-04-03,43.8,45.9,46.6,43.45,449295312,20290820096.0,52.797500000000014,48.22599999999999,50.1243988638995,50.704032920605606,-0.5796340567061051,1.0288183232114143,-1.6084523799175197,38.91631823047495,6.435144140837308,6.072421705086328,7.160589012339267,60.22962452801949,52.797500000000014,45.365375471980535,2.775704268198883,9612293424.0,58312253.21628187,20.224021224710494
2025-04-07,40.2,36.45,43.25,36.05,1037869824,40885489664.0,51.90250000000001,48.23699999999999,48.020645192530345,49.64817863019037,-1.627533437660027,0.4975479710371262,-2.1250814086971532,26.972151266657747,6.006193150088575,5.348347345941291,7.321884758383144,62.14937635330834,51.90250000000001,41.65562364669168,3.281011106184677,8574423600.0,-864238701.4503832,20.31316689393679
2025-04-08,38.55,38.9,39.85,37.45,715006880,27621956608.0,51.205000000000005,48.30899999999999,46.61746900906414,48.85201725017627,-2.2345482411121296,-0.0488712713927249,-2.1856769697194047,32.73616129040646,9.733796296296378,7.391711195740776,14.417966497407583,62.896274524190815,51.205000000000005,39.5137254758092,3.289510312885771,9289430480.0,-715278934.7837186,20.3745790562988
2025-04-09,37.8,41.9,42.4,36.6,679302080,27428454144.0,50.605,48.45699999999999,45.891704546131194,48.33705300942247,-2.4453484632912748,-0.528166709772435,-1.91718175351884,39.07714081632176,13.257948213700518,9.665979220028513,20.441886201044532,62.89767668166678,50.605,38.31232331833323,3.4688310048225017,9968732560.0,-153097903.05958074,20.437493103533622
2025-04-10,44.8,43.05,45.0,42.6,526260416,23013192192.0,50.15500000000001,48.581,45.45451923134178,47.94541945316895,-2.490900221827175,-0.920713412183383,-1.570186809643792,41.359245290111495,23.77286656709867,15.588203692365212,40.1421923165656,62.85531101981336,50.15500000000001,37.45468898018666,3.4424859330494657,10494992976.0,-482010663.0595825,20.493891128253203
2025-04-11,42.75,44.25,45.45,42.15,357167824,15727845120.0,49.72500000000001,48.724,45.26920858036612,47.67168467886014,-2.40247609849402,-1.2170659494455105,-1.1854101490485096,43.72797694172437,32.69799396015956,23.24293624698627,51.608109386506136,62.612183555765434,49.72500000000001,36.83781644423458,3.4323083664030754,10852160800.0,-384601256.5141282,20.5326727341254
