股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002466,2019-06-30,按地区分类,国外,641980197.4,0.247913,225223705.99,0.223411,416756491.41,0.263532,0.649173
002466,2018-12-31,,化学原料及化学制品制造业,4040998419.35,0.647138,1404358650.06,0.694063,2636639769.29,0.624643,0.652472
002466,2018-12-31,,采选冶炼行业,2201926783.65,0.352623,619027841.08,0.305936,1582898942.57,0.375003,0.71887
002466,2018-12-31,,其他(补充),1494771.7,0.000239,2007.09,1e-06,1492764.61,0.000354,0.998657
002466,2018-12-31,按产品分类,锂化合物及衍生品,4040998419.35,0.647138,1404358650.06,0.694063,2636639769.29,0.624643,0.652472
002466,2018-12-31,按产品分类,锂矿,2201926783.65,0.352623,619027841.08,0.305936,1582898942.57,0.375003,0.71887
002466,2018-12-31,按产品分类,其他(补充),1494771.7,0.000239,2007.09,1e-06,1492764.61,0.000354,0.998657
002466,2018-12-31,按地区分类,国内,5179745623.71,0.8295,1628376255.15,0.804778,3551369368.56,0.841351,0.685626
002466,2018-12-31,按地区分类,国外,1064674350.99,0.1705,395010235.99,0.195222,669664115.0,0.158649,0.628985
002466,2018-06-30,,化学原料及化学制品制造业,2137709981.91,0.649861,628889755.38,0.696243,1508820226.53,0.632304,0.705811
002466,2018-06-30,,采选冶炼行业,1150849160.27,0.349857,274347710.18,0.30373,876501450.09,0.367317,0.761613
002466,2018-06-30,,其他(补充),928507.5,0.000282,24878.85,2.8e-05,903628.65,0.000379,0.973206
002466,2018-06-30,按产品分类,锂化合物及衍生品,2137709981.91,0.649861,628889755.38,0.696243,1508820226.53,0.632304,0.705811
002466,2018-06-30,按产品分类,锂矿,1150849160.27,0.349857,274347710.18,0.30373,876501450.09,0.367317,0.761613
002466,2018-06-30,按产品分类,其他(补充),928507.5,0.000282,24878.85,2.8e-05,903628.65,0.000379,0.973206
002466,2018-06-30,按地区分类,国内,2899200996.29,0.881353,738200262.15,0.81726,2161000734.14,0.905615,0.745378
002466,2018-06-30,按地区分类,国外,389358145.89,0.118364,165037203.41,0.182712,224320942.48,0.094007,0.57613
002466,2018-06-30,按地区分类,其他(补充),928507.5,0.000282,24878.85,2.8e-05,903628.65,0.000379,0.973206
002466,2017-12-31,,化学原料及化学制品制造业,3696258609.46,0.675728,1130633568.13,0.692261,2565625041.33,0.66869,0.694114
002466,2017-12-31,,采选冶炼行业,1750841358.06,0.320078,494287845.13,0.302641,1256553512.93,0.327501,0.717686
002466,2017-12-31,,其他(补充),22939906.97,0.004194,8326095.31,0.005098,14613811.66,0.003809,0.637048
002466,2017-12-31,按产品分类,锂化合物及衍生品,3696258609.46,0.675728,1130633568.13,0.692261,2565625041.33,0.66869,0.694114
002466,2017-12-31,按产品分类,锂矿,1750841358.06,0.320078,494287845.13,0.302641,1256553512.93,0.327501,0.717686
002466,2017-12-31,按产品分类,其他(补充),22939906.97,0.004194,8326095.31,0.005098,14613811.66,0.003809,0.637048
002466,2017-12-31,按地区分类,国内,5031188861.76,0.919772,1482840458.95,0.907909,3548348402.81,0.924822,0.70527
002466,2017-12-31,按地区分类,国外,438851012.73,0.080228,150407049.62,0.092091,288443963.11,0.075178,0.657271
002466,2017-06-30,,化学原料及化学制品制造业,1480420610.98,0.613124,452443272.55,0.597619,1027977338.43,0.620205,0.694382
002466,2017-06-30,,采选冶炼行业,921813898.73,0.381774,304622455.22,0.402367,617191443.51,0.372368,0.66954
002466,2017-06-30,,其他(补充),12320245.93,0.005102,10376.14,1.4e-05,12309869.79,0.007427,0.999158
002466,2017-06-30,按产品分类,锂化合物及衍生品,1480420610.98,0.613124,452443272.55,0.597619,1027977338.43,0.620205,0.694382
002466,2017-06-30,按产品分类,锂矿,921813898.73,0.381774,304622455.22,0.402367,617191443.51,0.372368,0.66954
002466,2017-06-30,按产品分类,其他(补充),12320245.93,0.005102,10376.14,1.4e-05,12309869.79,0.007427,0.999158
002466,2017-06-30,按地区分类,国内,2226106093.31,0.921953,696474477.61,0.919953,1529631615.7,0.922867,0.687133
002466,2017-06-30,按地区分类,国外,176128416.4,0.072944,60591250.16,0.080033,115537166.24,0.069707,0.655983
002466,2017-06-30,按地区分类,其他(补充),12320245.93,0.005102,10376.14,1.4e-05,12309869.79,0.007427,0.999158
002466,2016-12-31,,化学原料及化学制品制造业,2824751388.61,0.723449,723781070.1,0.644709,2100970318.51,0.755224,0.743772
002466,2016-12-31,,采选冶炼行业,1061448407.59,0.271848,397325309.75,0.353918,664123097.84,0.238729,0.625676
002466,2016-12-31,,其他(补充),18364437.21,0.004703,1542078.55,0.001374,16822358.66,0.006047,0.916029
002466,2016-12-31,按产品分类,锂化合物及衍生品,2824751388.61,0.723449,723781070.1,0.644709,,,0.743772
002466,2016-12-31,按产品分类,锂矿,1061448407.59,0.271848,397325309.75,0.353918,,,0.625676
002466,2016-12-31,按产品分类,其他(补充),18364437.21,0.004703,1542078.55,0.001374,,,0.916029
002466,2016-12-31,按地区分类,国内,3525912153.58,0.903023,989700682.66,0.881577,2536211470.92,0.911678,0.719306
002466,2016-12-31,按地区分类,国外,378652079.83,0.096977,131405697.19,0.11705,247246382.64,0.088876,0.652965
002466,2016-12-31,按地区分类,其他(补充),,,1542078.55,0.001374,,,
002466,2016-06-30,,化学原料及化学制品制造业,1202276563.63,0.704902,276842175.32,0.587624,925434388.31,0.749659,0.769735
002466,2016-06-30,,采选冶炼行业,495348338.21,0.290426,194076509.44,0.411946,301271828.77,0.244049,0.608202
002466,2016-06-30,,其他(补充),7969864.69,0.004673,202930.98,0.000431,7766933.71,0.006292,0.974538
002466,2016-06-30,按产品分类,锂化合物及衍生品,1202276563.63,0.704902,276842175.32,0.587624,925434388.31,0.749659,0.769735
002466,2016-06-30,按产品分类,锂矿,495348338.21,0.290426,194076509.44,0.411946,301271828.77,0.244049,0.608202
002466,2016-06-30,按产品分类,其他(补充),7969864.69,0.004673,202930.98,0.000431,7766933.71,0.006292,0.974538
002466,2016-06-30,按地区分类,国内,1549360800.11,0.908399,426051219.59,0.904334,1123309580.52,0.909951,0.725015
002466,2016-06-30,按地区分类,国外,148264101.73,0.086928,44867465.17,0.095235,103396636.56,0.083758,0.697381
002466,2016-06-30,按地区分类,其他(补充),7969864.69,0.004673,202930.98,0.000431,7766933.71,0.006292,0.974538
002466,2015-12-31,,化学原料及化学制品制造业,991337090.0,0.531014,618364755.13,0.624283,372972334.87,0.425594,0.376232
002466,2015-12-31,,采选冶炼行业,861114555.23,0.461259,371957059.95,0.375517,489157495.28,0.558172,0.568052
002466,2015-12-31,,其他(补充),14425023.36,0.007727,198361.01,0.0002,14226662.35,0.016234,0.986249
002466,2015-12-31,按产品分类,锂化合物及衍生品,991337090.0,0.531014,618364755.13,0.624283,372972334.87,0.425594,0.376232
002466,2015-12-31,按产品分类,锂矿,861114555.23,0.461259,371957059.95,0.375517,489157495.28,0.558172,0.568052
002466,2015-12-31,按产品分类,其他(补充),14425023.36,0.007727,198361.01,0.0002,14226662.35,0.016234,0.986249
002466,2015-12-31,按地区分类,国内,1576269318.11,0.844335,,,,,
002466,2015-12-31,按地区分类,国外,290607350.48,0.155665,,,,,
002466,2015-12-31,按地区分类,其他(补充),0.0,,198361.01,1.0,-198361.01,1.0,
002466,2015-06-30,,采选冶炼行业,418392150.28,0.553675,180118715.82,0.452822,238273434.46,0.665766,0.569498
002466,2015-06-30,,化学原料及化学制品制造业,328709770.59,0.434995,216803132.33,0.545047,111906638.26,0.312681,0.340442
002466,2015-06-30,,其他(补充),8561382.67,0.01133,847609.62,0.002131,7713773.05,0.021553,0.900996
002466,2015-06-30,按产品分类,锂精矿,418392150.28,0.553675,180118715.82,0.452822,238273434.46,0.665766,0.569498
