SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004039999,全面收益总额,9612730000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-42283000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,9655013000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004099999,非运算项目,-129170756000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004001001,营业额,75506822000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004001999,营运收入,75506822000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004005002,销售成本,58677105000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004007999,毛利,16829717000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010001,其他收入,157407000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010002,其他收益,85847000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,5481047000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010004,行政开支,1523007000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010006,重估盈余,-1226492000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010010,研发费用,5159387000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010999,经营溢利,3683038000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011200,利息收入,1019435000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011201,融资成本,-519905000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011999,除税前溢利,5222378000.0
